Row_Number,Product_Name,Base_terms,terms,En_Taxonomic,Desc,Package_One,Pakage_One_kg,Have_Other_Package,Type_of_supply,Country,Brand,Brand_En,Price_Level,cash_price,credit_price,Price_Type,Percend,SKU
39,ماش ازبک,ماش,ماش,mung_beans,ماش ازبک بعد از ماش ونزوئلا در جایگاه دوم قرارا دارد و معمولا رنگ روشن تری از ماش ونزوئلا دارد هرچند که از لحاظ پخت مانند ماش ونزوئلا نیست ولی به نسبت پخت خوبی هم دارد. این ماش معمولا سورت شده و تمیز است وضایعات خارجی کمی دارد.,-,,0,خارجی,ازبکستان,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
18,لوبیا چشم بلبلی ایرانی,لوبیا چشم بلبلی,لوبیا چشم بلبلی ,black‑eyed_peas, در حال حاضر با توجه به مناطق برداشت محصول در بازار ایران انواع ماداگسکار و میانمار و ایرانی آن بیشتر یافت می شود. لوبیا چشم بلبلی ایرانی بیشتر در مناطق دزفول و خوزستان کاشت می شود و با توجه به اصلاح بذری که بر روی آن انجام شده است روز به روز به نمونه های مرغوبتر خارجی نزدیک می شود. مهمترین نکته در خرید این رقم از حبوبات دقت به آفت خوردگی و آفات زنده و مرده و تخم آفت در بار است چرا که با توجه به حساسیت این نوع لوبیا در فضای گرم و مرطوب و کاملا مستعد آفت زدگی می باشد. ,-,,0,داخلی,ایران,گوهر پاک,gohar_e_pak,0,0,0,قیمت کیلویی,0,
45,ذرت ترک,ذرت,ذرت,corn,ما درایران ذرت را با بلال می شناسیم و در کشورهای امریکای جنوبی و مرکزی مثل آرژانتین و برزیل و مکزیک بیشتر با نام کُرن شناخته می شود.  رنگ دانه های ذرت عمدتا زرد و سفید می باشد و سرشار از پروتئین و کربوهیدرات و آمینو اسید می باشد. ترکیه سهم به سزایی از ذرت در بازار ایران را دارد و به خصوص ذرت دامی فراوانی از این کشور به داخل وارد می شود. ذرت انسانی ترک دارای رنگ به نسبت پررنگ تری می باشد که درصد قابل قبولی از شکوفایی و باز شدن را دارد.,-,,0,خارجی,ترکیه,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
46,ذرت برزیلی,ذرت,ذرت,corn,ما درایران ذرت را با بلال می شناسیم و در کشورهای امریکای جنوبی و مرکزی مثل آرژانتین و برزیل و مکزیک بیشتر با نام کُرن شناخته می شود.  رنگ دانه های ذرت عمدتا زرد و سفید می باشد و سرشار از پروتئین و کربوهیدرات و آمینو اسید می باشد.  ذرت بریلی پخت خوب و ظاهر خوبی دارد و درصد شکوفه شدن بسیار بالایی دارد. در مورد ذرت باید دقت کرد که دچار آفت نبوده و آفت نهان و زنده در محصول وجود نداشته باشد.,-,,0,خارجی,برزیل,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
47,ذرت آرژانتین,ذرت,ذرت,corn,ما درایران ذرت را با بلال می شناسیم و در کشورهای امریکای جنوبی و مرکزی مثل آرژانتین و برزیل و مکزیک بیشتر با نام کُرن شناخته می شود.  رنگ دانه های ذرت عمدتا زرد و سفید می باشد و سرشار از پروتئین و کربوهیدرات و آمینو اسید می باشد.  ذرت آرژانتینی مانند ذرت برزیلی پخت خوب و ظاهر خوبی دارد و درصد شکوفه شدن بسیار بالایی دارد. در بعضی موارد حتی می توان گفت ذرت آرژانتینی نسبت به برزیلی کیفیت بهتری دارد.,-,,0,خارجی,آرژانتین,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
48,ذرت اتیوپی,ذرت,ذرت,corn,ما درایران ذرت را با بلال می شناسیم و در کشورهای امریکای جنوبی و مرکزی مثل آرژانتین و برزیل و مکزیک بیشتر با نام کُرن شناخته می شود.  رنگ دانه های ذرت عمدتا زرد و سفید می باشد و سرشار از پروتئین و کربوهیدرات و آمینو اسید می باشد. ذرت آفریقایی به تازگی در بازار ایران مورد استقبال قرار گرفته و عموما درصد شکوفه شدن بیشتری از نمونه های برزیلی و آرژانتینی دارد و مورد توجه شرکت های بسته بندی پاپ کرن هم قرار گرفته است.,-,,0,خارجی,اتیوپی,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
7,لوبیا چیتی کانادایی,لوبیا چیتی,لوبیا چیتی ,pinto_beans,لوبیا چیتی کانادا از ظاهر نسبتا خوبی برخوردار است اما در عین حال ممکن است دچار سستی باشد و به زودی تغییر رنگ داده و تیره شود. در واقع مهمترین نکته در هنگام خرید این محصول دقت در سستی بار است که ممکن است موجب افزایش لپه شدگی و شکستگی لوبیا در بار باشد اما در صورتی که چیتی کانادایی از لحاظ سستی مقاومت بالایی داشته باشد و رنگ خوبی داشته باشد می تواند یک جایگزین برای چیتی ازبک باشند.,-,,0,خارجی,کانادا,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
8,لوبیا چیتی چینی,لوبیا چیتی,لوبیا چیتی ,pinto_beans,لوبیا چیتی چینی از نمونه لوبیاهایی است که به تازگی در بازار ایران وارد شده و با توجه به ظاهر آن که از جثه نسبتا بزرگی برخوردار است  و پخت نسبتا خوبی دارد  با توجه به قیمت دلاری بالای آن هنوز نتوانسته سهم به سزایی در بازار ایران داشته باشد. البته لوبیا چیتی چینی نمونه های ارزانتر هم دارد که به نسبت رنگ تیره تری دارند و برای مصارف عمومی تر مثل نهاد ها و ارگان ها و پادگان ها مناسب خواهد بود.,-,,0,خارجی,چین,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
9,لوبیا چیتی آرژانتینی,لوبیا چیتی,لوبیا چیتی ,pinto_beans,لوبیا چیتی آرژانتینی به نسبت کیفیت از سایر لوبیا چیتی های وارداتی کیفیت پایین تری داشته و به همین دلیل مشتری های خاص خود و مصارف خاص خود مانند ارگان ها و نهاد ها را دارد که بسته به نوع مصرف از آن تهیه می نمایند.,-,,0,خارجی,آرژانتین,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
24,نخود فلافلی یا باب لپه,نخود,نخود فلافلی,falafel_chickpeas,"نخود باب لپه یا فلافلی معمولا ریز تره و شامل سایز های 5و 6و7 می باشد و مناسب فلافلی ها و تولید لپه می باشد.
ایرانی باب لپه : سیاه و قرمز
روس باب لپه یا فلافلی به رنگ سفید هست.
هندی یا اتیوپی باب لپه به رنگ سیاه و تیره می باشد.",-,,0,داخلی,ایران,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
33,عدس ریز کانادا کراپ آخر 2024,عدس ریز,عدس,lentils,عدس ریز کانادا کراپ آخر 2024 در واقع به عنوان عدس ریز پارساله کانادا شناخته می شود که بعضا با توجه به کیفیت و اصالت کالا از کیفیت مرغوبتری نسبت به عدس های امساله برخوردار هستند. عدس ریزکانادا به صورت کلی دارای کیفیت بالاتری نسبت به عدس روس و قزاق بوده و پخت بهتری می دهند به همین جهت بعضا از عدس ها روس امساله هم اقبال بیشتری دارند. ,-,,0,خارجی,کانادا,برند معتبر,trusted_brand,0,0,0,قیمت کیلویی,0,
